1,2,3,4,5,6,7,8,9,10
0.050510837,0.040750634,0.036277095,0.028235937,0.025080616,0.021140806,0.025148908,0.037266845,0.059856035,0.091655504
0.074599992,0.041093076,0.033189683,0.023702895,0.020325071,0.013655881,0.013782263,0.018209216,0.029748062,0.059411246
0.007447723,0.004794192,0.003987908,0.003932277,0.004983551,0.005865928,0.008024487,0.014701599,0.02933278,0.084248701
0.012999413,0.014108623,0.01530842,0.013544511,0.016546692,0.015814543,0.016793514,0.02355295,0.038164452,0.053909236
0.013845126,0.019450723,0.023477198,0.026652103,0.03843523,0.061005655,0.083322303,0.058426511,0.031547619,0.019524945
0.064151355,0.027737826,0.025985721,0.023265975,0.02162796,0.016189962,0.015718068,0.018323182,0.023200443,0.039226321
0.032328027,0.021436888,0.019682254,0.01551065,0.015504381,0.014312865,0.013716082,0.013485963,0.018120155,0.045943738
0.018319215,0.016231765,0.016659163,0.015456035,0.018175304,0.013515099,0.012078094,0.014536982,0.020113511,0.045826118
0.007761455,0.0053421,0.006432109,0.005461496,0.00934823,0.010887163,0.016760424,0.024160768,0.027810078,0.033257098
0.042994912,0.026984453,0.026178684,0.020262152,0.018110159,0.013280462,0.012078094,0.013941827,0.017497231,0.023540367
0.004665057,0.003287446,0.003666302,0.002239214,0.004364679,0.005420118,0.011184646,0.019842727,0.028806755,0.034390826
0.006492886,0.004999658,0.00591754,0.005789186,0.007524185,0.008470401,0.010671741,0.017196186,0.025581395,0.034158853
0.044167997,0.032532018,0.024377693,0.02288367,0.018175304,0.018254769,0.014973527,0.014233073,0.01744186,0.013238802
0.010625963,0.005821519,0.004759761,0.005297652,0.004853262,0.004012295,0.004980146,0.009167922,0.015974529,0.027820433
0.002850868,0.002465585,0.004245192,0.004478427,0.004136673,0.006358666,0.012309729,0.020893746,0.024252492,0.021602901
0.006602011,0.005205123,0.005338651,0.005079192,0.005048695,0.004458106,0.00468233,0.008686733,0.015240864,0.024719835
0.00368294,0.002534073,0.00295877,0.002785363,0.002670923,0.002932964,0.003011251,0.005495688,0.013067553,0.025490901
0.01816917,0.013423738,0.010291375,0.00737302,0.006709879,0.004340787,0.003888154,0.005039825,0.008596346,0.021040938
0.003369208,0.004246285,0.002765807,0.003768433,0.005016123,0.007132969,0.009794838,0.013650581,0.019130676,0.016862156
0.004160358,0.003424423,0.002508523,0.002894593,0.002736067,0.002815646,0.004020516,0.005761609,0.010921927,0.020286209
0.008347997,0.006437915,0.00649643,0.006990715,0.005341846,0.005420118,0.006585043,0.007825658,0.011295681,0.016849087
0.007625049,0.002876515,0.003344697,0.003549973,0.003778379,0.004669279,0.00818994,0.010421547,0.01265227,0.016414546
0.003491973,0.001849188,0.002251238,0.001201529,0.002019478,0.001665924,0.002101257,0.0037862,0.006866002,0.021782599
0.025766938,0.018697349,0.014407924,0.012015292,0.01110713,0.008916211,0.009050298,0.008522116,0.00912237,0.009321397
0.033091896,0.026094103,0.02534251,0.018514473,0.013615192,0.008517328,0.004516876,0.003659571,0.004540421,0.007782533
0.002141561,0.003698377,0.005853219,0.007864555,0.011237419,0.016448063,0.025761085,0.022375302,0.011669435,0.00581893
0.002086999,0.002328608,0.002701486,0.002457673,0.002377773,0.003144138,0.005046327,0.008218207,0.015033223,0.016048616
0.03766147,0.023080611,0.024056088,0.016111415,0.014331781,0.009127384,0.006187955,0.00444467,0.004180509,0.005149149
0.026544448,0.016300253,0.010870264,0.013981431,0.008403635,0.007367606,0.006254136,0.00598954,0.006243079,0.008677753
